province,city,link,zip
Agusan del Norte,Butuan City,New Society village Pob. (Bgy. 26),8600
Agusan del Norte,Butuan City,Nong-nong,8600
Agusan del Norte,Butuan City,Obrero Pob. (Bgy. 18),8600
Agusan del Norte,Butuan City,Ong Yiu Pob. (Bgy. 16),8600
Agusan del Norte,Butuan City,Pagatpatan,8600
Agusan del Norte,Butuan City,Pangabugan,8600
Agusan del Norte,Butuan City,Pianing,8600
Agusan del Norte,Butuan City,Pigdaulan,8600
Agusan del Norte,Butuan City,Pinamanculan,8600
Agusan del Norte,Butuan City,Port Poyohon Pob. (Bgy. 17 - New Asia),8600
Agusan del Norte,Butuan City,Rajah Soliman Pob. (Bgy. 4),8600
Agusan del Norte,Butuan City,Salvacion,8600
Agusan del Norte,Butuan City,San Ignacio Pob. (Bgy. 15),8600
Agusan del Norte,Butuan City,San Mateo,8600
Agusan del Norte,Butuan City,San Vicente,8600
Agusan del Norte,Butuan City,Santo Ni,8600
Agusan del Norte,Butuan City,Sikatuna Pob. (Bgy. 10),8600
Agusan del Norte,Butuan City,Silongan Pob. (Bgy. 5),8600
Agusan del Norte,Butuan City,Sumile,8600
Agusan del Norte,Butuan City,Sumilihon,8600
Agusan del Norte,Butuan City,Tagabaca,8600
Agusan del Norte,Butuan City,Taguibo,8600
Agusan del Norte,Butuan City,Taligaman,8600
Agusan del Norte,Butuan City,Tandang Sora Pob. (Bgy. 12),8600
Agusan del Norte,Butuan City,Tiniwisan,8600
Agusan del Norte,Butuan City,Tungao,8600
Agusan del Norte,Butuan City,Urduja Pob. (Bgy. 9),8600
Agusan del Norte,Butuan City,Villa Kananga,8600
Agusan del Norte,Cabadbaran City,Antonio Luna,8605
Agusan del Norte,Cabadbaran City,Bayabas,8605
Agusan del Norte,Cabadbaran City,Bay-ang,8605
Agusan del Norte,Cabadbaran City,Caasinan,8605
Agusan del Norte,Cabadbaran City,Cabinet,8605
Agusan del Norte,Cabadbaran City,Calamba,8605
Agusan del Norte,Cabadbaran City,Calibunan,8605
Agusan del Norte,Cabadbaran City,Comagascas,8605
Agusan del Norte,Cabadbaran City,Concepcion,8605
Agusan del Norte,Cabadbaran City,Del Pilar,8605
Agusan del Norte,Cabadbaran City,Katugasan,8605
Agusan del Norte,Cabadbaran City,Kauswagan,8605
Agusan del Norte,Cabadbaran City,La Union,8605
Agusan del Norte,Cabadbaran City,Mabini,8605
Agusan del Norte,Cabadbaran City,Mahaba,8605
Agusan del Norte,Cabadbaran City,Poblacion 1,8605
Agusan del Norte,Cabadbaran City,Poblacion 10,8605
Agusan del Norte,Cabadbaran City,Poblacion 11,8605
Agusan del Norte,Cabadbaran City,Poblacion 12,8605
Agusan del Norte,Cabadbaran City,Poblacion 2,8605
Agusan del Norte,Cabadbaran City,Poblacion 3,8605
Agusan del Norte,Cabadbaran City,Poblacion 4,8605
Agusan del Norte,Cabadbaran City,Poblacion 5,8605
Agusan del Norte,Cabadbaran City,Poblacion 6,8605
Agusan del Norte,Cabadbaran City,Poblacion 7,8605
Agusan del Norte,Cabadbaran City,Poblacion 8,8605
Agusan del Norte,Cabadbaran City,Poblacion 9,8605
Agusan del Norte,Cabadbaran City,Puting Bato,8605
Agusan del Norte,Cabadbaran City,Sanghan,8605
Agusan del Norte,Cabadbaran City,Soriano,8605
Agusan del Norte,Cabadbaran City,Tolosa,8605
Agusan del Norte,Carmen,Alegria,6319
Agusan del Norte,Carmen,Alejal,8101
Agusan del Norte,Carmen,Anibongan,8101
Agusan del Norte,Carmen,Antao,8315
Agusan del Norte,Carmen,Aroman,9408
Agusan del Norte,Carmen,Asuncion (Cuatro-Cuatro),8101
Agusan del Norte,Carmen,Baring,6005
Agusan del Norte,Carmen,Bentangan,9408
Agusan del Norte,Carmen,Bicao,6319
Agusan del Norte,Carmen,Buenavista,6319
Agusan del Norte,Carmen,Buenos Aires,6319
Agusan del Norte,Carmen,Cadiis,9408
Agusan del Norte,Carmen,Cahayagan,8603
Agusan del Norte,Carmen,Calatrava,6319
Agusan del Norte,Carmen,Cancavan,8315
Agusan del Norte,Carmen,Cantipay,6005
Agusan del Norte,Carmen,Cantukong,6005
Agusan del Norte,Carmen,Cantumog,6005
Agusan del Norte,Carmen,Carmen (Pob.),8315
Agusan del Norte,Carmen,Caurasan,6005
Agusan del Norte,Carmen,Cebulano,8101
Agusan del Norte,Carmen,Cogon East,6005
Agusan del Norte,Carmen,Cogon West,6005
Agusan del Norte,Carmen,Corte,6005
Agusan del Norte,Carmen,Dawis Norte,6005
Agusan del Norte,Carmen,Dawis Sur,6005
Agusan del Norte,Carmen,El Progreso,6319
Agusan del Norte,Carmen,El Salvador,6319
Agusan del Norte,Carmen,Esperanza,8315
Agusan del Norte,Carmen,General Luna,9408
Agusan del Norte,Carmen,Gosoon,8603
Agusan del Norte,Carmen,Guadalupe,6319
Agusan del Norte,Carmen,Guadalupe,8101
Agusan del Norte,Carmen,Hagnaya,6005
Agusan del Norte,Carmen,Hinapoyan,8315
Agusan del Norte,Carmen,Ipil,6005
Agusan del Norte,Carmen,Ising (Pob.),8101
Agusan del Norte,Carmen,Katanayanan,9408
Agusan del Norte,Carmen,Katipunan,6319
Agusan del Norte,Carmen,Kib-Ayao,9408
Agusan del Norte,Carmen,Kibenes,9408
Agusan del Norte,Carmen,Kibugtongan,9408
Agusan del Norte,Carmen,Kilala,9408
Agusan del Norte,Carmen,Kimadzil,9408
Agusan del Norte,Carmen,Kitulaan,9408
Agusan del Norte,Carmen,La Libertad,6319
Agusan del Norte,Carmen,La Paz,6319
Agusan del Norte,Carmen,La Paz,8101
Agusan del Norte,Carmen,La Salvacion,6319
Agusan del Norte,Carmen,La Victoria,6319
Agusan del Norte,Carmen,Langogan,9408
Agusan del Norte,Carmen,Lanipga,6005
Agusan del Norte,Carmen,Lanoon,9408
Agusan del Norte,Carmen,Liboron,6005
Agusan del Norte,Carmen,Liliongan,9408
Agusan del Norte,Carmen,Lower Natimao-an,6005
Agusan del Norte,Carmen,Luyang,6005
Agusan del Norte,Carmen,Mabaus,8101
Agusan del Norte,Carmen,Mabuhay,8101
Agusan del Norte,Carmen,Macabenban,9408
Agusan del Norte,Carmen,Magsaysay,8101
Agusan del Norte,Carmen,Malapag,9408
Agusan del Norte,Carmen,Manarapan,9408
Agusan del Norte,Carmen,Mangalcal,8101
Agusan del Norte,Carmen,Manili,9408
Agusan del Norte,Carmen,Manoligao,8603
Agusan del Norte,Carmen,Matin-ao,6319
Agusan del Norte,Carmen,Minda,8101
Agusan del Norte,Carmen,Montehermoso,6319
Agusan del Norte,Carmen,Montesuerte,6319
Agusan del Norte,Carmen,Montesunting,6319
Agusan del Norte,Carmen,Montevideo,6319
Agusan del Norte,Carmen,Nasapian,9408
Agusan del Norte,Carmen,New Camiling,8101
Agusan del Norte,Carmen,Nueva Fuerza,6319
Agusan del Norte,Carmen,Nueva Vida Este,6319
Agusan del Norte,Carmen,Nueva Vida Norte,6319
Agusan del Norte,Carmen,Nueva Vida Sur,6319
Agusan del Norte,Carmen,Palanggalan,9408
Agusan del Norte,Carmen,Pebpoloan,9408
Agusan del Norte,Carmen,Poblacion,6005
Agusan del Norte,Carmen,Poblacion,9408
Agusan del Norte,Carmen,Poblacion (Carmen),8603
Agusan del Norte,Carmen,Poblacion Norte,6319
Agusan del Norte,Carmen,Poblacion Sur,6319
Agusan del Norte,Carmen,Puente,6005
Agusan del Norte,Carmen,Puyat,8315
Agusan del Norte,Carmen,Ranzo,9408
Agusan del Norte,Carmen,Rojales,8603
Agusan del Norte,Carmen,Sac-on,6005
Agusan del Norte,Carmen,Salvacion,8101
Agusan del Norte,Carmen,San Agustin,8603
Agusan del Norte,Carmen,San Isidro,8101
Agusan del Norte,Carmen,San Vicente,8315
Agusan del Norte,Carmen,Santa Cruz,8315
Agusan del Norte,Carmen,Santo Ni,8101
Agusan del Norte,Carmen,Taba,8101
Agusan del Norte,Carmen,Tacupan,9408
Agusan del Norte,Carmen,Tagcatong,8603
Agusan del Norte,Carmen,Tambad,9408
Agusan del Norte,Carmen,Tambo-an,6319
Agusan del Norte,Carmen,Tibulao,8101
Agusan del Norte,Carmen,Tonganon,9408
Agusan del Norte,Carmen,Triumfo,6005
Agusan del Norte,Carmen,Tubod,8101
Agusan del Norte,Carmen,Tuganay,8101
Agusan del Norte,Carmen,Tupig,9408
Agusan del Norte,Carmen,Ugalingan (Lumayong),9408
Agusan del Norte,Carmen,Upper Natimao-an,6005
Agusan del Norte,Carmen,Vallehermoso,6319
Agusan del Norte,Carmen,Villaflor,6319
Agusan del Norte,Carmen,Villafuerte,6319
Agusan del Norte,Carmen,Villarcayo,6319
Agusan del Norte,Carmen,Vinapor,8603
Agusan del Norte,Jabonga,A. Beltran (Camalig),8607
Agusan del Norte,Jabonga,Baleguian,8607
Agusan del Norte,Jabonga,Bangonay,8607
Agusan del Norte,Jabonga,Bunga,8607
Agusan del Norte,Jabonga,Colorado,8607
Agusan del Norte,Jabonga,Cuyago,8607
Agusan del Norte,Jabonga,Libas,8607
Agusan del Norte,Jabonga,Magdagooc,8607
Agusan del Norte,Jabonga,Magsaysay,8607
Agusan del Norte,Jabonga,Maraiging,8607
Agusan del Norte,Jabonga,Poblacion (Jabonga),8607
Agusan del Norte,Jabonga,San Jose,8607
Agusan del Norte,Jabonga,San Pablo,8607
Agusan del Norte,Jabonga,San Vicente,8607
Agusan del Norte,Jabonga,Santo Ni,8607
Agusan del Norte,Kitcharao,Bangayan,8609
Agusan del Norte,Kitcharao,Canaway,8609
Agusan del Norte,Kitcharao,Crossing,8609
Agusan del Norte,Kitcharao,Hinimbangan,8609
Agusan del Norte,Kitcharao,Jaliobong,8609
Agusan del Norte,Kitcharao,Mahayahay,8609
Agusan del Norte,Kitcharao,Poblacion,8609
Agusan del Norte,Kitcharao,San Isidro,8609
Agusan del Norte,Kitcharao,San Roque,8609
Agusan del Norte,Kitcharao,Sangay,8609
Agusan del Norte,Kitcharao,Songkoy,8609
Agusan del Norte,Las Nieves,Ambacon,8610
Agusan del Norte,Las Nieves,Balungagan,8610
Agusan del Norte,Las Nieves,Bonifacio,8610
Agusan del Norte,Las Nieves,Casiklan,8610
Agusan del Norte,Las Nieves,Consorcia,8610
Agusan del Norte,Las Nieves,Durian,8610
Agusan del Norte,Las Nieves,Eduardo G. Montilla (Camboayon),8610
Agusan del Norte,Las Nieves,Ibuan,8610
Agusan del Norte,Las Nieves,Katipunan,8610
Agusan del Norte,Las Nieves,Lingayao,8610
Agusan del Norte,Las Nieves,Malicato,8610
Agusan del Norte,Las Nieves,Maningalao,8610
Agusan del Norte,Las Nieves,Marcos Calo,8610
Agusan del Norte,Las Nieves,Mat-i,8610
Agusan del Norte,Las Nieves,Pinana-an,8610
Agusan del Norte,Las Nieves,Poblacion,8610
Agusan del Norte,Las Nieves,Rosario,8610
Agusan del Norte,Las Nieves,San Isidro,8610
Agusan del Norte,Las Nieves,San Roque,8610
Agusan del Norte,Las Nieves,Tinucoran,8610
Agusan del Norte,Magallanes,Aguada Norte,4705
Agusan del Norte,Magallanes,Aguada Sur,4705
Agusan del Norte,Magallanes,Anibong,4705
Agusan del Norte,Magallanes,Bacalon,4705
Agusan del Norte,Magallanes,Bacolod,4705
Agusan del Norte,Magallanes,Baliwag,4113
Agusan del Norte,Magallanes,Banacud,4705
Agusan del Norte,Magallanes,Barangay 1 (Pob.),4113
Agusan del Norte,Magallanes,Barangay 2 (Pob.),4113
Agusan del Norte,Magallanes,Barangay 3 (Pob.),4113
Agusan del Norte,Magallanes,Barangay 4 (Pob.),4113
Agusan del Norte,Magallanes,Barangay 5 (Pob.),4113
Agusan del Norte,Magallanes,Behia,4705
Agusan del Norte,Magallanes,Bendita I,4113
Agusan del Norte,Magallanes,Bendita II,4113
Agusan del Norte,Magallanes,Biga,4705
Agusan del Norte,Magallanes,Binisitahan del Norte,4705
Agusan del Norte,Magallanes,Binisitahan del Sur,4705
Agusan del Norte,Magallanes,Biton,4705
Agusan del Norte,Magallanes,Buhang,8604
Agusan del Norte,Magallanes,Bulala,4705
Agusan del Norte,Magallanes,Busay,4705
Agusan del Norte,Magallanes,Caditaan,4705
Agusan del Norte,Magallanes,Cagbolo,4705
Agusan del Norte,Magallanes,Cagtalaba,4705
Agusan del Norte,Magallanes,Caloc-an,8604
Agusan del Norte,Magallanes,Caluangan,4113
Agusan del Norte,Magallanes,Cawit Extension,4705
Agusan del Norte,Magallanes,Cawit Proper,4705
Agusan del Norte,Magallanes,Ginangra,4705
Agusan del Norte,Magallanes,Guiasan,8604
Agusan del Norte,Magallanes,Hubo,4705
Agusan del Norte,Magallanes,Incarizan,4705
Agusan del Norte,Magallanes,Kabulusan,4113
Agusan del Norte,Magallanes,Lapinig,4705
Agusan del Norte,Magallanes,Magsaysay,4705
Agusan del Norte,Magallanes,Malbog,4705
Agusan del Norte,Magallanes,Marcos,8604
Agusan del Norte,Magallanes,Medina,4113
Agusan del Norte,Magallanes,Pacheco,4113
Agusan del Norte,Magallanes,Pantalan,4705
Agusan del Norte,Magallanes,Pawik,4705
Agusan del Norte,Magallanes,Pili,4705
Agusan del Norte,Magallanes,Poblacion,4705
Agusan del Norte,Magallanes,Poblacion,8604
Agusan del Norte,Magallanes,Ramirez,4113
Agusan del Norte,Magallanes,Salvacion,4705
Agusan del Norte,Magallanes,San Agustin,4113
Agusan del Norte,Magallanes,Santa Elena,4705
Agusan del Norte,Magallanes,Santo Ni,8604
Agusan del Norte,Magallanes,Santo Rosario,8604
Agusan del Norte,Magallanes,Siuton,4705
Agusan del Norte,Magallanes,Tagas,4705
Agusan del Norte,Magallanes,Taod-oy,8604
Agusan del Norte,Magallanes,Tua,4113
Agusan del Norte,Magallanes,Tulatula Norte,4705
Agusan del Norte,Magallanes,Tulatula Sur,4705
Agusan del Norte,Magallanes,Urdaneta,4113
Agusan del Norte,Nasipit,Aclan,8602
Agusan del Norte,Nasipit,Amontay,8602
Agusan del Norte,Nasipit,Ata-atahon,8602
Agusan del Norte,Nasipit,Barangay 1 (Pob.),8602
Agusan del Norte,Nasipit,Barangay 2 (Pob.),8602
Agusan del Norte,Nasipit,Barangay 3 (Pob.),8602
Agusan del Norte,Nasipit,Barangay 4 (Pob.),8602
Agusan del Norte,Nasipit,Barangay 5 (Pob.),8602
Agusan del Norte,Nasipit,Barangay 6 (Pob.),8602
Agusan del Norte,Nasipit,Barangay 7 (Pob.),8602
Agusan del Norte,Nasipit,Camagong,8602
Agusan del Norte,Nasipit,Cubi-cubi,8602
Agusan del Norte,Nasipit,Culit,8602
Agusan del Norte,Nasipit,Jaguimitan,8602
Agusan del Norte,Nasipit,Kinabjangan,8602
Agusan del Norte,Nasipit,Punta,8602
Agusan del Norte,Nasipit,Santa Ana,8602
Agusan del Norte,Nasipit,Talisay,8602
Agusan del Norte,Nasipit,Triangulo,8602
Agusan del Norte,Remedios T. Romualdez,Balangbalang,8611
Agusan del Norte,Remedios T. Romualdez,Basilisa,8611
Agusan del Norte,Remedios T. Romualdez,Humilog,8611
Agusan del Norte,Remedios T. Romualdez,Panaytayon,8611
Agusan del Norte,Remedios T. Romualdez,Poblacion I (Agay),8611
Agusan del Norte,Remedios T. Romualdez,Poblacion II,8611
Agusan del Norte,Remedios T. Romualdez,San Antonio,8611
Agusan del Norte,Remedios T. Romualdez,Tagbongabong,8611
Agusan del Norte,Santiago,Al-aludig,2707
Agusan del Norte,Santiago,Ambucao,2707
Agusan del Norte,Santiago,Baybayabas,2707
Agusan del Norte,Santiago,Bigbiga,2707
Agusan del Norte,Santiago,Bulbulala,2707
Agusan del Norte,Santiago,Busel-busel,2707
Agusan del Norte,Santiago,Butol,2707
Agusan del Norte,Santiago,Caburao,2707
Agusan del Norte,Santiago,Curva,8608
Agusan del Norte,Santiago,Dan-ar,2707
Agusan del Norte,Santiago,Estanislao Morgado,8608
Agusan del Norte,Santiago,Gabao,2707
Agusan del Norte,Santiago,Guinabang,2707
Agusan del Norte,Santiago,Imus,2707
Agusan del Norte,Santiago,Jagupit,8608
Agusan del Norte,Santiago,La Paz,8608
Agusan del Norte,Santiago,Lang-ayan,2707
Agusan del Norte,Santiago,Mambug,2707
Agusan del Norte,Santiago,Nalasin,2707
Agusan del Norte,Santiago,Olo-olo Norte,2707
Agusan del Norte,Santiago,Olo-olo Sur,2707
Agusan del Norte,Santiago,Poblacion I,8608
Agusan del Norte,Santiago,Poblacion II,8608
Agusan del Norte,Santiago,Poblacion Norte,2707
Agusan del Norte,Santiago,Poblacion Sur,2707
Agusan del Norte,Santiago,Sabangan,2707
Agusan del Norte,Santiago,Salincub,2707
Agusan del Norte,Santiago,San Isidro,8608
Agusan del Norte,Santiago,San Jose (Baraoas),2707
Agusan del Norte,Santiago,San Roque,2707
Agusan del Norte,Santiago,Tagbuyacan,8608
Agusan del Norte,Santiago,Ubbog,2707
Agusan del Norte,Tubay,Binuangan,8606
Agusan del Norte,Tubay,Cabayawa,8606
Agusan del Norte,Tubay,Do,8606
Agusan del Norte,Tubay,La Fraternidad,8606
Agusan del Norte,Tubay,Lawigan,8606
Agusan del Norte,Tubay,Poblacion 1,8606
Agusan del Norte,Tubay,Poblacion 2,8606
Agusan del Norte,Tubay,Santa Ana,8606
Agusan del Norte,Tubay,Tagmamarkay,8606
