countryName,countryArName,stateName,stateArName,state_code,cityName,cityArName,city_code
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,North West Sulaibikhat,شمال غرب الصليبيخات,KW-KU-5
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Mirqab,المرقاب,KW-KU-6
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Mansouriya,المنصورية,KW-KU-7
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Khaldiya,الخالدية,KW-KU-8
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Kaifan,كيفان,KW-KU-9
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Granada,غرناطة,KW-KU-10
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Faiha,الفيحاء,KW-KU-11
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Doha,الدوحة,KW-KU-12
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Dasman,دسمان,AE-SH-33
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Dasma,الدسمة,KW-KU-14
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Daiya,الدعية,KW-KU-15
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Beneid Al Gar,بنيد القار,KW-KU-16
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Al Soor,حدائق السور,KW-KU-17
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Adailiya,العديلية,KW-KU-18
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Abdulla Al Salem,ضاحية عبدالله السالم,KW-KU-19
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Yarmouk,اليرموك,KW-KU-20
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Um Seddah,أم سدة - Um Seddah,KW-KU-21
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Surra,السرة,KW-KU-22
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Sulaibikhat,الصليبيخات,KW-KU-23
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Shuwaikh Port,ميناء الشويخ,KW-KU-24
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Shuwaikh Industrial Area,الشويخ الصناعية,KW-KU-25
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Shuwaikh Health Area,شويخ الصحية,KW-KU-26
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Shuwaikh Education Area,شويخ التعليمية,KW-KU-27
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Shuwaikh,ميناء الشويخ,KW-KU-28
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Sharq,شرق,KW-KU-29
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Nuzha,Nuzha,KW-KU-30
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Kuwait City,مدينة الكويت,KW-KU-31
Kuwait,الكويت‎,Jahra,الجهراء,KW-JA,Jabir Al Ahmad,جابر الاحمد,KW-JA-0
Kuwait,الكويت‎,Jahra,الجهراء,KW-JA,Waha,الواحة,KW-JA-1
Kuwait,الكويت‎,Jahra,الجهراء,KW-JA,Umm Al Aish,خبرة أم العيش,KW-JA-2
Kuwait,الكويت‎,Jahra,الجهراء,KW-JA,Taima,تيماء,KW-JA-3
Kuwait,الكويت‎,Jahra,الجهراء,KW-JA,Sulaibiyah Industrial Area,الصليبية الصناعية,KW-JA-4
Kuwait,الكويت‎,Jahra,الجهراء,KW-JA,Sulaibiyah,الصليبية,KW-JA-5
Kuwait,الكويت‎,Jahra,الجهراء,KW-JA,Sabriya,صبرية - Sabriya,KW-JA-6
Kuwait,الكويت‎,Jahra,الجهراء,KW-JA,Saad Abdullah City,سعد العبدالله,KW-JA-7
Kuwait,الكويت‎,Jahra,الجهراء,KW-JA,Qeirawan,القيروان,KW-JA-8
Kuwait,الكويت‎,Jahra,الجهراء,KW-JA,Qasr,القصر,KW-JA-9
Kuwait,الكويت‎,Jahra,الجهراء,KW-JA,Nassem,النسيم,KW-JA-10
Kuwait,الكويت‎,Jahra,الجهراء,KW-JA,Nahda,النهضة,KW-JA-11
Kuwait,الكويت‎,Jahra,الجهراء,KW-JA,Naeem,النعيم,KW-JA-12
Kuwait,الكويت‎,Jahra,الجهراء,KW-JA,Jahra Industrial Area,الجهراء المنطقة الصناعية قطعه,KW-JA-13
Kuwait,الكويت‎,Jahra,الجهراء,KW-JA,Amghara Industrial Area,منطقة أمغرة صناعية,KW-JA-14
Kuwait,الكويت‎,Jahra,الجهراء,KW-JA,Al Jahra,الجهراء,KW-JA-15
Kuwait,الكويت‎,Jahra,الجهراء,KW-JA,Abdali,العبدلي,KW-JA-16
Kuwait,الكويت‎,Jahra,الجهراء,KW-JA,A'Youn,العيون,KW-JA-17
Kuwait,الكويت‎,Jahra,الجهراء,KW-JA,Kabd,كبد,KW-JA-18
Kuwait,الكويت‎,Hawally,حولي,KW-HA,Zahra,الزهراء,KW-HA-0
Kuwait,الكويت‎,Hawally,حولي,KW-HA,Sideeq,الصديق,KW-HA-1
Kuwait,الكويت‎,Hawally,حولي,KW-HA,Sha'Ab,الشعب,KW-HA-2
Kuwait,الكويت‎,Hawally,حولي,KW-HA,Rumaithiya,الرميثية,KW-HA-3
Kuwait,الكويت‎,Hawally,حولي,KW-HA,Mubarak Al Abdulla Al Jaber Area,ضاحية مبارك العبدالله,KW-HA-4
Kuwait,الكويت‎,Hawally,حولي,KW-HA,Hawally,حولي,KW-HA-5
Kuwait,الكويت‎,Hawally,حولي,KW-HA,Hateen,حطين,KW-HA-6
Kuwait,الكويت‎,Hawally,حولي,KW-HA,Al Shuhada,الشهداء,KW-HA-7
Kuwait,الكويت‎,Hawally,حولي,KW-HA,Al Salam,السلام,KW-HA-8
Kuwait,الكويت‎,Hawally,حولي,KW-HA,Al Bidaa,البدع,KW-HA-9
Kuwait,الكويت‎,Hawally,حولي,KW-HA,Salwa,سلوى,KW-HA-10
Kuwait,الكويت‎,Hawally,حولي,KW-HA,Salmiya,السالمية,KW-HA-11
Kuwait,الكويت‎,Hawally,حولي,KW-HA,Mishref,مشرف,KW-HA-12
Kuwait,الكويت‎,Hawally,حولي,KW-HA,Jabriya,الجابرية,KW-HA-13
Kuwait,الكويت‎,Hawally,حولي,KW-HA,Bayan,بيان,KW-HA-14
Kuwait,الكويت‎,Farwaniyah,الفروانية,KW-FA,Sabah Al Naser,صباح الناصر,KW-FA-0
Kuwait,الكويت‎,Farwaniyah,الفروانية,KW-FA,Rehab,الرحاب,KW-FA-1
Kuwait,الكويت‎,Farwaniyah,الفروانية,KW-FA,Regiee,الرقعي,KW-FA-2
Kuwait,الكويت‎,Farwaniyah,الفروانية,KW-FA,Rai,الري,KW-FA-3
Kuwait,الكويت‎,Farwaniyah,الفروانية,KW-FA,Omariyah,العمرية,KW-FA-4
Kuwait,الكويت‎,Farwaniyah,الفروانية,KW-FA,Kuwait International Airport,مطار الكويت الدولي,KW-FA-5
Kuwait,الكويت‎,Farwaniyah,الفروانية,KW-FA,Jeleeb Shoyoukh,جليب الشيوخ,KW-FA-6
Kuwait,الكويت‎,Farwaniyah,الفروانية,KW-FA,Ishbilya,إشبيلية,KW-FA-7
Kuwait,الكويت‎,Farwaniyah,الفروانية,KW-FA,Firdous,الفردوس,KW-FA-8
Kuwait,الكويت‎,Farwaniyah,الفروانية,KW-FA,Dhajeej,الضجيج,KW-FA-9
Kuwait,الكويت‎,Farwaniyah,الفروانية,KW-FA,Ardiya Industrial,العارضية الحرفية,KW-FA-10
Kuwait,الكويت‎,Farwaniyah,الفروانية,KW-FA,Andalous,الأندلس,KW-FA-11
Kuwait,الكويت‎,Farwaniyah,الفروانية,KW-FA,Al Shadadiya,الشدادية,KW-FA-12
Kuwait,الكويت‎,Farwaniyah,الفروانية,KW-FA,Al Rabiah,الرابية,KW-FA-13
Kuwait,الكويت‎,Farwaniyah,الفروانية,KW-FA,Abdulla Al Mubarak Al Sabah,عبدالله المبارك الصباح,KW-FA-14
Kuwait,الكويت‎,Farwaniyah,الفروانية,KW-FA,Khaitan,خيطان,KW-FA-15
Kuwait,الكويت‎,Farwaniyah,الفروانية,KW-FA,Farwaniyah,الفروانية,KW-FA-16
Kuwait,الكويت‎,Farwaniyah,الفروانية,KW-FA,Ardiya,العارضية,KW-FA-17
Kuwait,الكويت‎,Farwaniyah,الفروانية,KW-FA,Abraq Khaitan,أبرق خيطان - Abraq Khaitan,KW-FA-18
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Wafra,الوفرة,KW-AH-0
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,South Sabahiyah,جنوب الصباحية,KW-AH-1
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Shuaiba Industrial Area,الشعيبة قطعه,KW-AH-2
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Sabah Al Ahmad,صباح الأحمد,KW-AH-3
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Riqqa,الرقة,KW-AH-4
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Nuwaiseeb,النويصيب,KW-AH-5
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Minaa Abdulla,ميناء عبد الله,KW-AH-6
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Manqaf,المنقف,KW-AH-7
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Khiran City,الخيران,KW-AH-8
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Jaber Al Ali,جابر العلي,KW-AH-9
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Hijil,هجيل - Hijil,KW-AH-10
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Fintas,الفنطاس,KW-AH-11
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Fahaheel Industrial,الفحيحيل,KW-AH-12
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Fahad Al Ahmed Area,فهد الأحمد,KW-AH-13
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Bnaider,بنيدر,KW-AH-14
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Aqeela,عقيلة - Aqeela,KW-AH-15
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Ali Sabah Al Salem,علي صباح السالم,KW-AH-16
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Al Zour,الزور,KW-AH-17
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Al Khiran Pearl City,الخيران,KW-AH-18
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Abdulla Port,ميناء عبدالله - Abdulla Port,KW-AH-19
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Dhaher,الظهر,KW-AH-20
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Sabahiya,الصباحية,KW-AH-21
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Riqqah,الرقة,KW-AH-22
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Mahboula,المهبولة,KW-AH-23
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Hadiya,هدية,KW-AH-24
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Fahaheel,الفحيحيل,KW-AH-25
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Ahmadi,الأحمدي,KW-AH-26
Kuwait,الكويت‎,Ahmadi,الأحمدي,KW-AH,Abu Halifa,أبو حليفة,KW-AH-27
