,
"GB-ENG
",England,"country
",England,
"GB-NIR
",Northern Ireland,"province
",Northern Ireland,
"GB-SCT
",Scotland,"country
",Scotland,
"GB-WLS
",Wales,"country
"GB-GAT
",Gateshead,"metropolitan district
",ENG,,
"GB-KIR
",Kirklees,"metropolitan district
",ENG,,
"GB-KWL
",Knowsley,"metropolitan district
",ENG,,
"GB-LDS
",Leeds,"metropolitan district
",ENG,,
"GB-LIV
",Liverpool,"metropolitan district
",ENG,,
"GB-MAN
",Manchester,"metropolitan district
",ENG,,
"GB-NET
",Newcastle upon Tyne,"metropolitan district
",ENG,,
"GB-NTY
",North Tyneside,"metropolitan district
",ENG,,
"GB-OLD
",Oldham,"metropolitan district
",ENG,,
"GB-RCH
",Rochdale,"metropolitan district
",ENG,,
"GB-ROT
",Rotherham,"metropolitan district
",ENG,,
"GB-SHN
",St. Helens,"metropolitan district
",ENG,,
"GB-SLF
",Salford,"metropolitan district
",ENG,,
"GB-SAW
",Sandwell,"metropolitan district
",ENG,,
"GB-SFT
",Sefton,"metropolitan district
",ENG,,
"GB-SHF
",Sheffield,"metropolitan district
",ENG,,
"GB-SOL
",Solihull,"metropolitan district
",ENG,,
"GB-STY
",South Tyneside,"metropolitan district
",ENG,,
"GB-SKP
",Stockport,"metropolitan district
",ENG,,
"GB-SND
",Sunderland,"metropolitan district
",ENG,,
"GB-TAM
",Tameside,"metropolitan district
",ENG,,
"GB-TRF
",Trafford,"metropolitan district
",ENG,,
"GB-WKF
",Wakefield,"metropolitan district
",ENG,,
"GB-WLL
",Walsall,"metropolitan district
",ENG,,
"GB-WGN
",Wigan,"metropolitan district
",ENG,,
"GB-WRL
",Wirral,"metropolitan district
",ENG,,
"GB-WLV
",Wolverhampton,"metropolitan district
",ENG,,
"GB-BAS
",Bath and North East Somerset,"unitary authority
",ENG,,
"GB-BDF
",Bedford,"unitary authority
",ENG,,
"GB-BBD
",Blackburn with Darwen,"unitary authority
",ENG,,
"GB-BPL
",Blackpool,"unitary authority
",ENG,,
"GB-BCP
","Bournemouth, Christchurch and Poole","unitary authority
",ENG,,
"GB-BRC
",Bracknell Forest,"unitary authority
",ENG,,
"GB-BNH
",Brighton and Hove,"unitary authority
",ENG,,
"GB-BST
","Bristol, City of","unitary authority
",ENG,,
"GB-BKM
",Buckinghamshire,"unitary authority
",ENG,,
"GB-CBF
",Central Bedfordshire,"unitary authority
",ENG,,
"GB-CHE
",Cheshire East,"unitary authority
",ENG,,
"GB-CHW
",Cheshire West and Chester,"unitary authority
",ENG,,
"GB-CON
",Cornwall,"unitary authority
",ENG,,
"GB-DAL
",Darlington,"unitary authority
",ENG,,
"GB-DER
",Derby,"unitary authority
",ENG,,
"GB-DUR
","Durham, County","unitary authority
",ENG,,
"GB-ERY
",East Riding of Yorkshire,"unitary authority
",ENG,,
"GB-HAL
",Halton,"unitary authority
",ENG,,
"GB-HPL
",Hartlepool,"unitary authority
",ENG,,
"GB-HEF
",Herefordshire,"unitary authority
",ENG,,
"GB-IOW
",Isle of Wight,"unitary authority
",ENG,,
"GB-IOS
",Isles of Scilly,"unitary authority
",ENG,,
"GB-KHL
",Kingston upon Hull,"unitary authority
",ENG,,
"GB-LCE
",Leicester,"unitary authority
",ENG,,
"GB-LUT
",Luton,"unitary authority
",ENG,,
"GB-MDW
",Medway,"unitary authority
",ENG,,
"GB-MDB
",Middlesbrough,"unitary authority
",ENG,,
"GB-MIK
",Milton Keynes,"unitary authority
",ENG,,
"GB-NEL
",North East Lincolnshire,"unitary authority
",ENG,,
"GB-NLN
",North Lincolnshire,"unitary authority
",ENG,,
"GB-NNH
",North Northamptonshire,"unitary authority
",ENG,,
"GB-NSM
",North Somerset,"unitary authority
",ENG,,
"GB-NBL
",Northumberland,"unitary authority
",ENG,,
"GB-NGM
",Nottingham,"unitary authority
",ENG,,
"GB-PTE
",Peterborough,"unitary authority
",ENG,,
"GB-PLY
",Plymouth,"unitary authority
",ENG,,
"GB-POR
",Portsmouth,"unitary authority
",ENG,,
"GB-RDG
",Reading,"unitary authority
",ENG,,
"GB-RCC
",Redcar and Cleveland,"unitary authority
",ENG,,
"GB-RUT
",Rutland,"unitary authority
",ENG,,
"GB-SHR
",Shropshire,"unitary authority
",ENG,,
"GB-SLG
",Slough,"unitary authority
",ENG,,
"GB-SGC
",South Gloucestershire,"unitary authority
",ENG,,
"GB-STH
",Southampton,"unitary authority
",ENG,,
"GB-SOS
",Southend-on-Sea,"unitary authority
",ENG,,
"GB-STT
",Stockton-on-Tees,"unitary authority
",ENG,,
"GB-STE
",Stoke-on-Trent,"unitary authority
",ENG,,
"GB-SWD
",Swindon,"unitary authority
",ENG,,
"GB-TFW
",Telford and Wrekin,"unitary authority
",ENG,,
"GB-THR
",Thurrock,"unitary authority
",ENG,,
"GB-TOB
",Torbay,"unitary authority
",ENG,,
"GB-WRT
",Warrington,"unitary authority
",ENG,,
"GB-WBK
",West Berkshire,"unitary authority
",ENG,,
"GB-WNH
",West Northamptonshire,"unitary authority
",ENG,,
"GB-WIL
",Wiltshire,"unitary authority
",ENG,,
"GB-WNM
",Windsor and Maidenhead,"unitary authority
",ENG,,
"GB-WOK
",Wokingham,"unitary authority
",ENG,,
"GB-YOR
",York,"unitary authority
",ENG,,
"GB-ANN
",Antrim and Newtownabbey,"district
",NIR,,
"GB-AND
",Ards and North Down,"district
",NIR,,
"GB-ABC
","Armagh City, Banbridge and Craigavon","district
",NIR,,
"GB-BFS
",Belfast City,"district
",NIR,,
"GB-CCG
",Causeway Coast and Glens,"district
",NIR,,
"GB-DRS
",Derry and Strabane,"district
",NIR,,
"GB-FMO
",Fermanagh and Omagh,"district
",NIR,,
"GB-LBC
",Lisburn and Castlereagh,"district
",NIR,,
"GB-MEA
",Mid and East Antrim,"district
",NIR,,
"GB-MUL
",Mid-Ulster,"district
",NIR,,
"GB-NMD
","Newry, Mourne and Down","district
",NIR,,
"GB-ABE
",Aberdeen City,"council area
",SCT,,
"GB-ABD
",Aberdeenshire,"council area
",SCT,,
"GB-ANS
",Angus,"council area
",SCT,,
"GB-AGB
",Argyll and Bute,"council area
",SCT,,
"GB-CLK
",Clackmannanshire,"council area
",SCT,,
"GB-DGY
",Dumfries and Galloway,"council area
",SCT,,
"GB-DND
",Dundee City,"council area
",SCT,,
"GB-EAY
",East Ayrshire,"council area
",SCT,,
"GB-EDU
",East Dunbartonshire,"council area
",SCT,,
"GB-ELN
",East Lothian,"council area
",SCT,,
"GB-ERW
",East Renfrewshire,"council area
",SCT,,
"GB-EDH
","Edinburgh, City of","council area
",SCT,,
"GB-ELS
",Eilean Siar,"council area
",SCT,,
"GB-FAL
",Falkirk,"council area
",SCT,,
"GB-FIF
",Fife,"council area
",SCT,,
"GB-GLG
",Glasgow City,"council area
",SCT,,
"GB-HLD
",Highland,"council area
",SCT,,
"GB-IVC
",Inverclyde,"council area
",SCT,,
"GB-MLN
",Midlothian,"council area
",SCT,,
"GB-MRY
",Moray,"council area
",SCT,,
"GB-NAY
",North Ayrshire,"council area
",SCT,,
"GB-NLK
",North Lanarkshire,"council area
",SCT,,
"GB-ORK
",Orkney Islands,"council area
",SCT,,
"GB-PKN
",Perth and Kinross,"council area
",SCT,,
"GB-RFW
",Renfrewshire,"council area
",SCT,,
"GB-SCB
",Scottish Borders,"council area
",SCT,,
"GB-ZET
",Shetland Islands,"council area
",SCT,,
"GB-SAY
",South Ayrshire,"council area
",SCT,,
"GB-SLK
",South Lanarkshire,"council area
",SCT,,
"GB-STG
",Stirling,"council area
",SCT,,
"GB-WDU
",West Dunbartonshire,"council area
",SCT,,
"GB-WLN
",West Lothian,"council area
",SCT,,
"GB-BGW
",Blaenau Gwent,"unitary authority
",WLS,,
"GB-BGE
",Bridgend,"unitary authority
",WLS,,
"GB-CAY
",Caerphilly,"unitary authority
",WLS,,
"GB-CRF
",Cardiff,"unitary authority
",WLS,,
"GB-CMN
",Carmarthenshire,"unitary authority
",WLS,,
"GB-CGN
",Ceredigion,"unitary authority
",WLS,,
"GB-CWY
",Conwy,"unitary authority
",WLS,,
"GB-DEN
",Denbighshire,"unitary authority
",WLS,,
"GB-FLN
",Flintshire,"unitary authority
",WLS,,
"GB-GWN
",Gwynedd,"unitary authority
",WLS,,
"GB-AGY
",Isle of Anglesey,"unitary authority
",WLS,,
"GB-MTY
",Merthyr Tydfil,"unitary authority
",WLS,,
"GB-MON
",Monmouthshire,"unitary authority
",WLS,,
"GB-NTL
",Neath Port Talbot,"unitary authority
",WLS,,
"GB-NWP
",Newport,"unitary authority
",WLS,,
"GB-PEM
",Pembrokeshire,"unitary authority
",WLS,,
"GB-POW
",Powys,"unitary authority
",WLS,,
"GB-RCT
",Rhondda Cynon Taff,"unitary authority
",WLS,,
"GB-SWA
",Swansea,"unitary authority
",WLS,,
"GB-TOF
",Torfaen,"unitary authority
",WLS,,
"GB-VGL
","Vale of Glamorgan, The","unitary authority
",WLS,,
"GB-WRX
",Wrexham,"unitary authority
",WLS,,
,
Newsletter I-2,"2002-05-21
","Various corrections of name forms i.e. deletion of name adjuncts
","
",,
Newsletter I-8,"2007-04-17
","Modification of the administrative structure
",ISO 3166-2:JE,,
Newsletter I-9,"2007-11-28
","Modification of administrative structure
","
",,
Newsletter II-2,"2010-06-30
","Update and reorganization of the subdivision data and update of the list source
",Isles of Scilly,,
Newsletter II-3,"2011-12-13 (corrected 2011-12-15)
","NL II-2 correction for administrative name changes.
",Wales,,
,
"2022-11-29
","Deletion of two-tier county GB-NTH; Addition of unitary authority GB-NNH, GB-WNH; Change of category name from two-tier county to unitary authority for GB-BKM; Update List Source
",,
"2022-03-03
","Correction of parent subdivision of GB-PEM
",,
"2021-11-25
","Addition of subdivision categories country and province in eng & fra; Modification of remark part 2; Addition of country GB-ENG, GB-WLS, GB-SCT; Addition of province GB-NIR; Addition of parent subdivisions
",,
"2020-11-24
","Deletion of GB-BMH, GB-POL; Addition of GB-BCP; Correction of spelling for GB-BFS, GB-DRS, GB-DUR, GB-MUL, GB-RCT, GB-SCB; Modification of remark, part 2; Update List Source
",,
"2019-11-22
","Change of subdivision name of GB-ABC, GB-DRS; Modification of remark part 2; Update List Source
",,
"2015-11-27
","Deletion of Northern Ireland district council areas GB-ANT, GB-ARD, GB-ARM, GB-BLA, GB-BLY, GB-BNB, GB-CKF, GB-CSR, GB-CLR, GB-CKT, GB-CGV, GB-DRY, GB-DOW, GB-DGN, GB-FER, GB-LRN, GB-LMV, GB-LSB, GB-MFT, GB-MYL, GB-NYM, GB-NTA, GB-NDN, GB-OMH, GB-STB; change of subdivision category from district council area to district GB-BFS; addition of Northern Ireland districts GB-ANN, GB-AND, GB-ABC, GB-CCG, GB-DRS, GB-FMO, GB-LBC, GB-MEA, GB-MUL, GB-NMD; update List Source
",,
"2014-12-18
","Alignment of the English and French short names upper and lower case with UNTERM; update of the remarks in French
",,
"2014-10-30
","Re-add GB-IOS
",,
"2011-12-13
","NL II-2 correction for administrative name changes.
",,
"2010-06-30
","Update and reorganization of the subdivision data and update of the list source
",,
